,Datetime,Region,Technology,Tech category,Value
217,2020,reg1,Commited_geo_PP,Supply,0.0
218,2021,reg1,Commited_geo_PP,Supply,0.0
219,2022,reg1,Commited_geo_PP,Supply,0.0
220,2023,reg1,Commited_geo_PP,Supply,0.0
221,2024,reg1,Commited_geo_PP,Supply,10000.0
222,2025,reg1,Commited_geo_PP,Supply,0.0
223,2026,reg1,Commited_geo_PP,Supply,0.0
224,2027,reg1,Commited_geo_PP,Supply,0.0
225,2028,reg1,Commited_geo_PP,Supply,0.0
226,2029,reg1,Commited_geo_PP,Supply,0.0
227,2030,reg1,Commited_geo_PP,Supply,0.0
228,2019,reg1,New_hydro_PP,Supply,0.0
229,2020,reg1,New_hydro_PP,Supply,0.0
230,2021,reg1,New_hydro_PP,Supply,0.0
231,2022,reg1,New_hydro_PP,Supply,0.0
232,2023,reg1,New_hydro_PP,Supply,0.0
233,2024,reg1,New_hydro_PP,Supply,0.0
234,2025,reg1,New_hydro_PP,Supply,0.0
235,2026,reg1,New_hydro_PP,Supply,212921.38048386094
236,2027,reg1,New_hydro_PP,Supply,659474.0835905088
237,2028,reg1,New_hydro_PP,Supply,914573.5984943773
238,2029,reg1,New_hydro_PP,Supply,0.0
239,2030,reg1,New_hydro_PP,Supply,2515583.2214388507
240,2019,reg1,New_PV_PP,Supply,0.0
241,2020,reg1,New_PV_PP,Supply,48130.84434294723
242,2021,reg1,New_PV_PP,Supply,164737.40021675438
243,2022,reg1,New_PV_PP,Supply,300000.0
244,2023,reg1,New_PV_PP,Supply,300000.0
245,2024,reg1,New_PV_PP,Supply,300000.0
246,2025,reg1,New_PV_PP,Supply,300000.0
247,2026,reg1,New_PV_PP,Supply,300000.0
248,2027,reg1,New_PV_PP,Supply,300000.0
249,2028,reg1,New_PV_PP,Supply,300000.0
250,2029,reg1,New_PV_PP,Supply,300000.0
251,2030,reg1,New_PV_PP,Supply,300000.0
252,2019,reg1,New_wind_PP,Supply,0.0
253,2020,reg1,New_wind_PP,Supply,200000.0
254,2021,reg1,New_wind_PP,Supply,200000.0
255,2022,reg1,New_wind_PP,Supply,200000.0
256,2023,reg1,New_wind_PP,Supply,200000.0
257,2024,reg1,New_wind_PP,Supply,200000.0
258,2025,reg1,New_wind_PP,Supply,200000.0
259,2026,reg1,New_wind_PP,Supply,200000.0
260,2027,reg1,New_wind_PP,Supply,200000.0
261,2028,reg1,New_wind_PP,Supply,200000.0
262,2029,reg1,New_wind_PP,Supply,200000.0
263,2030,reg1,New_wind_PP,Supply,200000.0
264,2019,reg1,New_geo_PP,Supply,0.0
265,2020,reg1,New_geo_PP,Supply,0.0
266,2021,reg1,New_geo_PP,Supply,0.0
267,2022,reg1,New_geo_PP,Supply,0.0
268,2023,reg1,New_geo_PP,Supply,0.0
269,2024,reg1,New_geo_PP,Supply,40000.0
270,2025,reg1,New_geo_PP,Supply,0.0
271,2026,reg1,New_geo_PP,Supply,0.0
272,2027,reg1,New_geo_PP,Supply,0.0
273,2028,reg1,New_geo_PP,Supply,0.0
274,2029,reg1,New_geo_PP,Supply,0.0
275,2030,reg1,New_geo_PP,Supply,0.0
276,2019,reg1,Coal_PP,Conversion,0.0
277,2020,reg1,Coal_PP,Conversion,0.0
278,2021,reg1,Coal_PP,Conversion,0.0
