,Years,Timesteps,Region,Carrier,Value
379,Y3,20,reg2,Final_electricity,11680.93418274334
380,Y3,21,reg2,Final_electricity,9712.335904657923
381,Y3,22,reg2,Final_electricity,4999.702463288248
382,Y3,23,reg2,Final_electricity,2265.892280855951
383,Y3,24,reg2,Final_electricity,2212.523566461829
384,Y4,1,reg2,Final_electricity,4293.134858914245
385,Y4,2,reg2,Final_electricity,4931.571881354983
386,Y4,3,reg2,Final_electricity,4270.072708813188
387,Y4,4,reg2,Final_electricity,5041.104430504628
388,Y4,5,reg2,Final_electricity,5591.928987688061
389,Y4,6,reg2,Final_electricity,6764.969742428777
390,Y4,7,reg2,Final_electricity,9120.628318193376
391,Y4,8,reg2,Final_electricity,7264.1583110635365
392,Y4,9,reg2,Final_electricity,0.0
393,Y4,10,reg2,Final_electricity,0.0
394,Y4,11,reg2,Final_electricity,0.0
395,Y4,12,reg2,Final_electricity,0.0
396,Y4,13,reg2,Final_electricity,0.0
397,Y4,14,reg2,Final_electricity,0.0
398,Y4,15,reg2,Final_electricity,0.0
399,Y4,16,reg2,Final_electricity,0.0
400,Y4,17,reg2,Final_electricity,3435.156422424592
401,Y4,18,reg2,Final_electricity,11327.004127635279
402,Y4,19,reg2,Final_electricity,14945.904479683179
403,Y4,20,reg2,Final_electricity,16243.021880696362
404,Y4,21,reg2,Final_electricity,13841.810944371027
405,Y4,22,reg2,Final_electricity,8227.78683295353
406,Y4,23,reg2,Final_electricity,4923.627951916695
407,Y4,24,reg2,Final_electricity,4876.793824287218
408,Y5,1,reg2,Final_electricity,7133.612506152348
409,Y5,2,reg2,Final_electricity,7878.719996919314
410,Y5,3,reg2,Final_electricity,7111.643843913655
411,Y5,4,reg2,Final_electricity,8017.234412219809
412,Y5,5,reg2,Final_electricity,8667.414273993165
413,Y5,6,reg2,Final_electricity,10046.996307089614
414,Y5,7,reg2,Final_electricity,12780.19011075317
415,Y5,8,reg2,Final_electricity,10406.937183643959
416,Y5,9,reg2,Final_electricity,0.0
417,Y5,10,reg2,Final_electricity,0.0
418,Y5,11,reg2,Final_electricity,0.0
419,Y5,12,reg2,Final_electricity,0.0
420,Y5,13,reg2,Final_electricity,0.0
421,Y5,14,reg2,Final_electricity,0.0
422,Y5,15,reg2,Final_electricity,0.0
423,Y5,16,reg2,Final_electricity,0.0
424,Y5,17,reg2,Final_electricity,5924.591435586467
425,Y5,18,reg2,Final_electricity,15396.084332498867
426,Y5,19,reg2,Final_electricity,19646.258730016267
427,Y5,20,reg2,Final_electricity,21118.45949221462
428,Y5,21,reg2,Final_electricity,18292.398372701435
429,Y5,22,reg2,Final_electricity,11733.601209884213
430,Y5,23,reg2,Final_electricity,7929.538157031849
431,Y5,24,reg2,Final_electricity,7842.036419265625
432,Y6,1,reg2,Final_electricity,9525.502964921878
433,Y6,2,reg2,Final_electricity,10416.057553964389
434,Y6,3,reg2,Final_electricity,9524.15387312775
435,Y6,4,reg2,Final_electricity,10635.392177639626
436,Y6,5,reg2,Final_electricity,11449.362920307205
437,Y6,6,reg2,Final_electricity,13151.359312958193
438,Y6,7,reg2,Final_electricity,16337.26623882245
439,Y6,8,reg2,Final_electricity,12460.455031094996
440,Y6,9,reg2,Final_electricity,0.0
441,Y6,10,reg2,Final_electricity,0.0
442,Y6,11,reg2,Final_electricity,0.0
443,Y6,12,reg2,Final_electricity,0.0
444,Y6,13,reg2,Final_electricity,0.0
445,Y6,14,reg2,Final_electricity,0.0
446,Y6,15,reg2,Final_electricity,0.0
447,Y6,16,reg2,Final_electricity,0.0
448,Y6,17,reg2,Final_electricity,7499.542386213001
449,Y6,18,reg2,Final_electricity,19669.609181606498
450,Y6,19,reg2,Final_electricity,24883.49700368902
451,Y6,20,reg2,Final_electricity,26433.409247151845
452,Y6,21,reg2,Final_electricity,22907.355132703433
453,Y6,22,reg2,Final_electricity,15063.364741559275
454,Y6,23,reg2,Final_electricity,10498.25241999859
455,Y6,24,reg2,Final_electricity,10336.963428021616
456,Y7,1,reg2,Final_electricity,12110.76392098132
457,Y7,2,reg2,Final_electricity,13150.757218664441
