,Year,Timesteps,From reg,To reg,Carrier,Value
8251,2026,20,reg3,reg1,Electricity,0.0
8252,2026,21,reg3,reg1,Electricity,0.0
8253,2026,22,reg3,reg1,Electricity,0.0
8254,2026,23,reg3,reg1,Electricity,0.0
8255,2026,24,reg3,reg1,Electricity,0.0
8256,2027,1,reg3,reg1,Electricity,0.0
8257,2027,2,reg3,reg1,Electricity,0.0
8258,2027,3,reg3,reg1,Electricity,0.0
8259,2027,4,reg3,reg1,Electricity,0.0
8260,2027,5,reg3,reg1,Electricity,0.0
8261,2027,6,reg3,reg1,Electricity,0.0
8262,2027,7,reg3,reg1,Electricity,0.0
8263,2027,8,reg3,reg1,Electricity,0.0
8264,2027,9,reg3,reg1,Electricity,0.0
8265,2027,10,reg3,reg1,Electricity,0.0
8266,2027,11,reg3,reg1,Electricity,0.0
8267,2027,12,reg3,reg1,Electricity,0.0
8268,2027,13,reg3,reg1,Electricity,0.0
8269,2027,14,reg3,reg1,Electricity,0.0
8270,2027,15,reg3,reg1,Electricity,0.0
8271,2027,16,reg3,reg1,Electricity,0.0
8272,2027,17,reg3,reg1,Electricity,0.0
8273,2027,18,reg3,reg1,Electricity,0.0
8274,2027,19,reg3,reg1,Electricity,0.0
8275,2027,20,reg3,reg1,Electricity,0.0
8276,2027,21,reg3,reg1,Electricity,0.0
8277,2027,22,reg3,reg1,Electricity,0.0
8278,2027,23,reg3,reg1,Electricity,0.0
8279,2027,24,reg3,reg1,Electricity,0.0
8280,2028,1,reg3,reg1,Electricity,0.0
8281,2028,2,reg3,reg1,Electricity,0.0
8282,2028,3,reg3,reg1,Electricity,0.0
8283,2028,4,reg3,reg1,Electricity,0.0
8284,2028,5,reg3,reg1,Electricity,0.0
8285,2028,6,reg3,reg1,Electricity,0.0
8286,2028,7,reg3,reg1,Electricity,0.0
8287,2028,8,reg3,reg1,Electricity,0.0
8288,2028,9,reg3,reg1,Electricity,0.0
8289,2028,10,reg3,reg1,Electricity,0.0
8290,2028,11,reg3,reg1,Electricity,0.0
8291,2028,12,reg3,reg1,Electricity,0.0
8292,2028,13,reg3,reg1,Electricity,0.0
8293,2028,14,reg3,reg1,Electricity,0.0
8294,2028,15,reg3,reg1,Electricity,0.0
8295,2028,16,reg3,reg1,Electricity,0.0
8296,2028,17,reg3,reg1,Electricity,0.0
8297,2028,18,reg3,reg1,Electricity,0.0
8298,2028,19,reg3,reg1,Electricity,0.0
8299,2028,20,reg3,reg1,Electricity,0.0
8300,2028,21,reg3,reg1,Electricity,0.0
8301,2028,22,reg3,reg1,Electricity,0.0
8302,2028,23,reg3,reg1,Electricity,0.0
8303,2028,24,reg3,reg1,Electricity,0.0
8304,2029,1,reg3,reg1,Electricity,0.0
8305,2029,2,reg3,reg1,Electricity,0.0
8306,2029,3,reg3,reg1,Electricity,0.0
8307,2029,4,reg3,reg1,Electricity,0.0
8308,2029,5,reg3,reg1,Electricity,0.0
8309,2029,6,reg3,reg1,Electricity,0.0
8310,2029,7,reg3,reg1,Electricity,0.0
8311,2029,8,reg3,reg1,Electricity,0.0
8312,2029,9,reg3,reg1,Electricity,0.0
8313,2029,10,reg3,reg1,Electricity,0.0
8314,2029,11,reg3,reg1,Electricity,0.0
8315,2029,12,reg3,reg1,Electricity,0.0
8316,2029,13,reg3,reg1,Electricity,0.0
8317,2029,14,reg3,reg1,Electricity,0.0
8318,2029,15,reg3,reg1,Electricity,0.0
8319,2029,16,reg3,reg1,Electricity,0.0
8320,2029,17,reg3,reg1,Electricity,0.0
8321,2029,18,reg3,reg1,Electricity,0.0
8322,2029,19,reg3,reg1,Electricity,0.0
8323,2029,20,reg3,reg1,Electricity,0.0
8324,2029,21,reg3,reg1,Electricity,0.0
8325,2029,22,reg3,reg1,Electricity,0.0
8326,2029,23,reg3,reg1,Electricity,0.0
8327,2029,24,reg3,reg1,Electricity,0.0
8328,2030,1,reg3,reg1,Electricity,0.0
8329,2030,2,reg3,reg1,Electricity,0.0
8330,2030,3,reg3,reg1,Electricity,0.0
8331,2030,4,reg3,reg1,Electricity,0.0
8332,2030,5,reg3,reg1,Electricity,0.0
8333,2030,6,reg3,reg1,Electricity,0.0
8334,2030,7,reg3,reg1,Electricity,0.0
8335,2030,8,reg3,reg1,Electricity,0.0
8336,2030,9,reg3,reg1,Electricity,0.0
8337,2030,10,reg3,reg1,Electricity,0.0
8338,2030,11,reg3,reg1,Electricity,0.0
8339,2030,12,reg3,reg1,Electricity,0.0
8340,2030,13,reg3,reg1,Electricity,0.0
8341,2030,14,reg3,reg1,Electricity,0.0
8342,2030,15,reg3,reg1,Electricity,0.0
8343,2030,16,reg3,reg1,Electricity,0.0
8344,2030,17,reg3,reg1,Electricity,0.0
8345,2030,18,reg3,reg1,Electricity,0.0
8346,2030,19,reg3,reg1,Electricity,0.0
8347,2030,20,reg3,reg1,Electricity,0.0
8348,2030,21,reg3,reg1,Electricity,0.0
8349,2030,22,reg3,reg1,Electricity,0.0
8350,2030,23,reg3,reg1,Electricity,0.0
8351,2030,24,reg3,reg1,Electricity,0.0
8352,2019,1,reg3,reg1,Final_electricity,0.0
8353,2019,2,reg3,reg1,Final_electricity,0.0
8354,2019,3,reg3,reg1,Final_electricity,0.0
8355,2019,4,reg3,reg1,Final_electricity,0.0
8356,2019,5,reg3,reg1,Final_electricity,0.0
8357,2019,6,reg3,reg1,Final_electricity,0.0
8358,2019,7,reg3,reg1,Final_electricity,0.0
8359,2019,8,reg3,reg1,Final_electricity,0.0
8360,2019,9,reg3,reg1,Final_electricity,0.0
8361,2019,10,reg3,reg1,Final_electricity,0.0
8362,2019,11,reg3,reg1,Final_electricity,0.0
8363,2019,12,reg3,reg1,Final_electricity,0.0
8364,2019,13,reg3,reg1,Final_electricity,0.0
8365,2019,14,reg3,reg1,Final_electricity,0.0
8366,2019,15,reg3,reg1,Final_electricity,0.0
8367,2019,16,reg3,reg1,Final_electricity,0.0
8368,2019,17,reg3,reg1,Final_electricity,0.0
8369,2019,18,reg3,reg1,Final_electricity,0.0
8370,2019,19,reg3,reg1,Final_electricity,0.0
8371,2019,20,reg3,reg1,Final_electricity,0.0
8372,2019,21,reg3,reg1,Final_electricity,0.0
8373,2019,22,reg3,reg1,Final_electricity,0.0
8374,2019,23,reg3,reg1,Final_electricity,0.0
